10.186.2.11,1715627191.0,1715627192.0173435
10.186.2.11,1715628202.0,1715628202.789153
10.186.2.11,1715629222.0,1715629222.6126666
10.186.2.11,1715630245.0,1715630245.5200133
10.186.2.11,1715631264.0,1715631265.368494
10.186.2.11,1715632288.0,1715632289.0345478
10.186.2.11,1715633319.0,1715633319.5853949
10.186.2.11,1715634335.0,1715634336.3394392
10.186.2.11,1715635347.0,1715635347.5443618
10.186.2.11,1715636373.0,1715636374.4191937
10.186.2.11,1715637392.0,1715637393.484198
10.186.2.11,1715638413.0,1715638414.3245552
10.186.2.11,1715639436.0,1715639436.5486748
10.186.2.11,1715640448.0,1715640449.2629862
10.186.2.11,1715641472.0,1715641473.3458166
10.186.2.11,1715642494.0,1715642494.6537838
10.186.2.11,1715643519.0,1715643520.1459074
10.186.2.11,1715644540.0,1715644541.1870372
10.186.2.11,1715645558.0,1715645559.1940558
10.186.2.11,1715646579.0,1715646580.449635
10.186.2.11,1715647606.0,1715647607.3151135
10.186.2.11,1715648630.0,1715648630.5977483
10.186.2.11,1715649643.0,1715649643.9030206
10.186.2.11,1715650667.0,1715650667.8689678
10.186.2.11,1715651692.0,1715651692.5766122
10.186.2.11,1715652710.0,1715652710.5170038
10.186.2.11,1715653728.0,1715653729.2490346
10.186.2.11,1715654749.0,1715654750.0228045
10.186.2.11,1715655775.0,1715655776.089355
10.186.2.11,1715656793.0,1715656794.145567
10.186.2.11,1715657816.0,1715657816.6359677
10.186.2.11,1715658834.0,1715658835.292744
10.186.2.11,1715659858.0,1715659859.1587143
10.186.2.11,1715660892.0,1715660892.5947196
10.186.2.11,1715661902.0,1715661902.5664408
10.186.2.11,1715662928.0,1715662929.3159366
10.186.2.11,1715663947.0,1715663948.247308
10.186.2.11,1715664965.0,1715664966.203487
10.186.2.11,1715665987.0,1715665988.2856143
10.186.2.11,1715667006.0,1715667006.9422853
10.186.2.11,1715668029.0,1715668030.5001144
10.186.2.11,1715669046.0,1715669047.1648333
10.186.2.11,1715670068.0,1715670068.9305475
10.186.2.11,1715671099.0,1715671099.9223988
10.186.2.11,1715672109.0,1715672109.7684524
10.186.2.11,1715673130.0,1715673131.5925941
10.186.2.11,1715674154.0,1715674154.4920151
10.186.2.11,1715675172.0,1715675172.6983721
10.186.2.11,1715676192.0,1715676193.3387587
10.186.2.11,1715677217.0,1715677217.5299156
10.186.2.11,1715713604.0,1715713604.7827811
10.186.2.11,1715714624.0,1715714625.312175
10.186.2.11,1715715631.0,1715715632.1154447
